CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000731,BELLAS ARTES BAKERY,29314 PACIFIC HWY S,FEDERAL WAY,WA,98003-3863,USA,,,,,,,,,
1000733,TEENY FOODS,3434 NE 170TH PL,PORTLAND,OR,97230-5072,USA,,,,,,,,,
1000735,SVENHARD'S SWEDISH B,701 INDUSTRIAL DR,EXETER,CA,93221-2102,USA,,,,,,,,,
1000736,PUNJAB SWEETS,23617 104TH AVE SE,KENT,WA,98031-3378,USA,,,,,,,,,
1000737,MRS FIELDS COOKIES 5,900 GLENEAGLES DR,EDMOND,OK,73013-1808,USA,,,,,,,,,
1000740,WAN HUA FOODS INC,804 6TH AVE S,SEATTLE,WA,98134-1304,USA,,,,,,,,,
1000741,COLLECTIONS ARARAT B,5716 SE 92ND AVE,PORTLAND,OR,97266-4659,USA,,,,,,,,,
1000742,JULIA'S OF WALLINGFO,1714 N 44TH ST,SEATTLE,WA,98103-7571,USA,,,,,,,,,
1000746,DONUT LAND,19350 SW BOONES FERRY RD,TUALATIN,OR,97062-9084,USA,,,,,,,,,
1000747,COUGAR MOUNTAIN BAKI,4224 24TH AVE W,SEATTLE,WA,98199-1216,USA,,,,,,,,,
1000748,SESAME DONUT,6990 SW BEAVERTON HILLSDALE HWY,PORTLAND,OR,97225-1461,USA,,,,,,,,,
1000749,SUZIE'S CAKES,2302 SIMPSON AVE,HOQUIAM,WA,98550-3934,USA,,,,,,,,,
1000754,COLLECTIONS J&R DONU,9638 GRAVELLY LAKE DR SW,TACOMA,WA,98499-1516,USA,,,,,,,,,
1000755,GOLDEN BAKE FOOD PRO,12120 PARK ST,CERRITOS,CA,90703-1842,USA,,,,,,,,,
1000759,MRS FIELDS COOKIES 5,1948 W PULLMAN RD  G24,MOSCOW,ID,83843-4013,USA,,,,,,,,,
1000761,SUNRISE DONUTS CLOSE,3318 181ST PL NE,REDMOND,WA,98052-5933,USA,,,,,,,,,
1000762,HANK'S THRIFTWAY,661 SE BASELINE ST,HILLSBORO,OR,97123-4183,USA,,,,,,,,,
1000763,SUNNY DONUTS LLC,4500 PACIFIC HWY E,FIFE,WA,98424-2685,USA,,,,,,,,,
1000765,PORTLAND SPECIALTY B,3423 NE 172ND PL,PORTLAND,OR,97230-5071,USA,,,,,,,,,
1000768,COLLECTIONS BUBBLES,15215 KESWICK ST,VAN NUYS,CA,91405-1014,USA,,,,,,,,,
1000771,THE GRACE CAFE INC,1065 E SUNSET DR,BELLINGHAM,WA,98226-3510,USA,,,,,,,,,
1000774,ALKI BAKERY & CAFE I,8815 S 190TH ST,KENT,WA,98031-1270,USA,,,,,,,,,
1000776,EUROBAKE,5917 NE 80TH AVE,PORTLAND,OR,97218-2891,USA,,,,,,,,,
1000777,COLLECTIONS PAVE BAK,2613 COLBY AVE,EVERETT,WA,98201-2921,USA,,,,,,,,,
1000778,EVERGREEN DONUTS,20101 44TH AVE W,LYNNWOOD,WA,98036-6745,USA,,,,,,,,,
1000781,AN XUYEN BAKERY - SE,19043 INTERNATIONAL BLVD,SEATAC,WA,98188-5207,USA,,,,,,,,,
